id,speed,jamf,time
36283,84.0,0.97071,2019-11-09 07:51
36283,84.0,0.97071,2019-11-09 07:52
36283,84.0,0.97071,2019-11-09 07:53
36283,84.0,0.97071,2019-11-09 07:54
36283,84.0,0.97071,2019-11-09 07:55
36283,84.0,0.97071,2019-11-09 07:56
36283,84.0,0.97071,2019-11-09 07:57
36283,84.0,0.97071,2019-11-09 07:58
36283,84.0,0.97071,2019-11-09 07:59
36283,84.0,0.97071,2019-11-09 08:00
36283,80.0,1.30543,2019-11-09 08:01
36283,80.0,1.30543,2019-11-09 08:02
36283,80.0,1.30543,2019-11-09 08:03
36283,80.0,1.30543,2019-11-09 08:04
36283,80.0,1.30543,2019-11-09 08:05
36283,80.0,1.30543,2019-11-09 08:06
36283,80.0,1.30543,2019-11-09 08:07
36283,80.0,1.30543,2019-11-09 08:08
36283,80.0,1.30543,2019-11-09 08:09
36283,80.0,1.30543,2019-11-09 08:10
36283,80.0,1.30543,2019-11-09 08:11
36283,80.0,1.30543,2019-11-09 08:12
36283,80.0,1.30543,2019-11-09 08:13
36283,80.0,1.30543,2019-11-09 08:14
36283,80.0,1.30543,2019-11-09 08:15
36283,79.0,1.38912,2019-11-09 08:16
36283,79.0,1.38912,2019-11-09 08:17
36283,79.0,1.38912,2019-11-09 08:18
36283,79.0,1.38912,2019-11-09 08:19
36283,79.0,1.38912,2019-11-09 08:20
36283,79.0,1.38912,2019-11-09 08:21
36283,79.0,1.38912,2019-11-09 08:22
36283,79.0,1.38912,2019-11-09 08:23
36283,79.0,1.38912,2019-11-09 08:24
36283,79.0,1.38912,2019-11-09 08:25
36283,79.0,1.38912,2019-11-09 08:26
36283,79.0,1.38912,2019-11-09 08:27
36283,79.0,1.38912,2019-11-09 08:28
36283,79.0,1.38912,2019-11-09 08:29
36283,80.91,1.22955,2019-11-09 08:30
36283,81.51,1.17916,2019-11-09 08:31
36283,82.19,1.12239,2019-11-09 08:32
36283,82.19,1.12239,2019-11-09 08:33
36283,82.15,1.12528,2019-11-09 08:34
36283,82.07,1.13216,2019-11-09 08:35
36283,83.85,0.98358,2019-11-09 08:36
36283,85.9,0.81166,2019-11-09 08:37
36283,86.49,0.76263,2019-11-09 08:38
36283,86.33,0.77593,2019-11-09 08:39
36283,86.87,0.73061,2019-11-09 08:40
36283,88.24,0.61563,2019-11-09 08:41
36283,87.98,0.63737,2019-11-09 08:42
36283,88.26,0.61439,2019-11-09 08:43
36283,87.92,0.64228,2019-11-09 08:44
36283,87.62,0.66791,2019-11-09 08:45
36283,87.51,0.67674,2019-11-09 08:46
36283,87.11,0.71048,2019-11-09 08:47
36283,86.73,0.74204,2019-11-09 08:48
36283,86.33,0.77553,2019-11-09 08:49
36283,85.91,0.8107,2019-11-09 08:50
36283,85.52,0.84313,2019-11-09 08:51
36283,85.12,0.87726,2019-11-09 08:52
36283,84.69,0.91281,2019-11-09 08:53
36283,84.29,0.94619,2019-11-09 08:54
36283,83.88,0.981,2019-11-09 08:55
36283,83.45,1.01695,2019-11-09 08:56
36283,83.04,1.05079,2019-11-09 08:57
36283,82.64,1.08457,2019-11-09 08:58
36283,82.26,1.11596,2019-11-09 08:59
36283,81.92,1.14507,2019-11-09 09:00
36283,82.08,1.13159,2019-11-09 09:01
36283,81.76,1.15782,2019-11-09 09:02
36283,81.49,1.1808,2019-11-09 09:03
36283,81.27,1.19905,2019-11-09 09:04
36283,81.08,1.2151,2019-11-09 09:05
36283,80.91,1.22903,2019-11-09 09:06
36283,80.77,1.24132,2019-11-09 09:07
36283,80.64,1.25206,2019-11-09 09:08
36283,80.53,1.26125,2019-11-09 09:09
36283,80.43,1.26942,2019-11-09 09:10
36283,80.39,1.27302,2019-11-09 09:11
36283,80.39,1.27302,2019-11-09 09:12
36283,80.39,1.27302,2019-11-09 09:13
36283,80.0,1.30543,2019-11-09 09:14
36283,80.0,1.30543,2019-11-09 09:15
36283,80.0,1.30543,2019-11-09 09:16
36283,80.0,1.30543,2019-11-09 09:17
36283,80.0,1.30543,2019-11-09 09:18
36283,80.0,1.30543,2019-11-09 09:19
36283,80.0,1.30543,2019-11-09 09:20
36283,80.0,1.30543,2019-11-09 09:21
36283,80.0,1.30543,2019-11-09 09:22
36283,80.0,1.30543,2019-11-09 09:23
36283,80.0,1.30543,2019-11-09 09:24
36283,80.0,1.30543,2019-11-09 09:25
36283,80.0,1.30543,2019-11-09 09:26
36283,80.0,1.30543,2019-11-09 09:27
36283,80.0,1.30543,2019-11-09 09:28
36283,80.0,1.30543,2019-11-09 09:29
36283,80.0,1.30543,2019-11-09 09:30
36283,81.0,1.22175,2019-11-09 09:31
36283,81.0,1.22175,2019-11-09 09:32
36283,81.0,1.22175,2019-11-09 09:33
36283,81.0,1.22175,2019-11-09 09:34
36283,81.0,1.22175,2019-11-09 09:35
36283,81.0,1.22175,2019-11-09 09:36
36283,81.0,1.22175,2019-11-09 09:37
36283,81.0,1.22175,2019-11-09 09:38
36283,81.0,1.22175,2019-11-09 09:39
36283,81.0,1.22175,2019-11-09 09:40
36283,81.0,1.22175,2019-11-09 09:41
36283,81.0,1.22175,2019-11-09 09:42
36283,81.0,1.22175,2019-11-09 09:43
36283,81.0,1.22175,2019-11-09 09:44
36283,81.0,1.22175,2019-11-09 09:45
36283,81.0,1.22175,2019-11-09 09:46
36283,81.0,1.22175,2019-11-09 09:47
36283,81.0,1.22175,2019-11-09 09:48
36283,81.0,1.22175,2019-11-09 09:49
36283,81.0,1.22175,2019-11-09 09:50
36283,81.0,1.22175,2019-11-09 09:51
36283,81.0,1.22175,2019-11-09 09:52
36283,81.0,1.22175,2019-11-09 09:53
36283,81.0,1.22175,2019-11-09 09:54
36283,81.0,1.22175,2019-11-09 09:55
36283,81.0,1.22175,2019-11-09 09:56
36283,81.0,1.22175,2019-11-09 09:57
36283,81.0,1.22175,2019-11-09 09:58
36283,81.0,1.22175,2019-11-09 09:59
36283,81.0,1.22175,2019-11-09 10:00
36283,81.0,1.22175,2019-11-09 10:01
36283,81.0,1.22175,2019-11-09 10:02
36283,81.0,1.22175,2019-11-09 10:03
36283,81.0,1.22175,2019-11-09 10:04
36283,81.0,1.22175,2019-11-09 10:05
36283,81.0,1.22175,2019-11-09 10:06
36283,81.0,1.22175,2019-11-09 10:07
36283,81.0,1.22175,2019-11-09 10:08
36283,81.0,1.22175,2019-11-09 10:09
36283,81.0,1.22175,2019-11-09 10:10
36283,81.0,1.22175,2019-11-09 10:11
36283,81.0,1.22175,2019-11-09 10:12
36283,81.0,1.22175,2019-11-09 10:13
36283,81.0,1.22175,2019-11-09 10:14
36283,81.0,1.22175,2019-11-09 10:15
36283,82.0,1.13807,2019-11-09 10:16
36283,82.0,1.13807,2019-11-09 10:17
36283,82.0,1.13807,2019-11-09 10:18
36283,82.0,1.13807,2019-11-09 10:19
36283,82.0,1.13807,2019-11-09 10:20
36283,82.0,1.13807,2019-11-09 10:21
36283,82.0,1.13807,2019-11-09 10:22
36283,82.0,1.13807,2019-11-09 10:23
36283,82.0,1.13807,2019-11-09 10:24
36283,82.0,1.13807,2019-11-09 10:25
36283,82.0,1.13807,2019-11-09 10:26
36283,82.0,1.13807,2019-11-09 10:27
36283,82.0,1.13807,2019-11-09 10:28
36283,82.0,1.13807,2019-11-09 10:29
36283,82.0,1.13807,2019-11-09 10:30
36283,82.0,1.13807,2019-11-09 10:31
36283,82.0,1.13807,2019-11-09 10:32
36283,82.0,1.13807,2019-11-09 10:33
36283,82.0,1.13807,2019-11-09 10:34
36283,82.0,1.13807,2019-11-09 10:35
36283,82.0,1.13807,2019-11-09 10:36
36283,82.0,1.13807,2019-11-09 10:37
36283,82.0,1.13807,2019-11-09 10:38
36283,82.0,1.13807,2019-11-09 10:39
36283,82.0,1.13807,2019-11-09 10:40
36283,82.0,1.13807,2019-11-09 10:41
36283,82.0,1.13807,2019-11-09 10:42
36283,82.0,1.13807,2019-11-09 10:43
36283,82.0,1.13807,2019-11-09 10:44
36283,82.0,1.13807,2019-11-09 10:45
36283,82.0,1.13807,2019-11-09 10:46
36283,82.0,1.13807,2019-11-09 10:47
36283,82.0,1.13807,2019-11-09 10:48
36283,82.0,1.13807,2019-11-09 10:49
36283,82.0,1.13807,2019-11-09 10:50
36283,82.0,1.13807,2019-11-09 10:51
36283,82.0,1.13807,2019-11-09 10:52
36283,82.0,1.13807,2019-11-09 10:53
36283,82.0,1.13807,2019-11-09 10:54
36283,82.0,1.13807,2019-11-09 10:55
36283,82.0,1.13807,2019-11-09 10:56
36283,82.0,1.13807,2019-11-09 10:57
36283,82.0,1.13807,2019-11-09 10:58
36283,82.0,1.13807,2019-11-09 10:59
36283,82.0,1.13807,2019-11-09 11:00
36283,82.0,1.13807,2019-11-09 11:01
36283,82.0,1.13807,2019-11-09 11:02
36283,82.0,1.13807,2019-11-09 11:03
36283,82.0,1.13807,2019-11-09 11:04
36283,82.0,1.13807,2019-11-09 11:05
36283,82.0,1.13807,2019-11-09 11:06
36283,82.0,1.13807,2019-11-09 11:07
36283,82.0,1.13807,2019-11-09 11:08
36283,82.0,1.13807,2019-11-09 11:09
36283,82.0,1.13807,2019-11-09 11:10
36283,82.0,1.13807,2019-11-09 11:11
36283,82.0,1.13807,2019-11-09 11:12
36283,82.0,1.13807,2019-11-09 11:13
36283,82.0,1.13807,2019-11-09 11:14
36283,82.0,1.13807,2019-11-09 11:15
36283,82.0,1.13807,2019-11-09 11:16
36283,82.0,1.13807,2019-11-09 11:17
36283,83.08,1.04809,2019-11-09 11:18
36283,83.43,1.01879,2019-11-09 11:19
36283,83.42,1.01898,2019-11-09 11:20
36283,83.64,1.00105,2019-11-09 11:21
36283,83.86,0.98205,2019-11-09 11:22
36283,83.87,0.98191,2019-11-09 11:23
36283,84.13,0.95969,2019-11-09 11:24
36283,84.52,0.92698,2019-11-09 11:25
36283,84.53,0.92632,2019-11-09 11:26
36283,84.62,0.91869,2019-11-09 11:27
36283,85.52,0.84391,2019-11-09 11:28
36283,85.53,0.84298,2019-11-09 11:29
36283,85.47,0.8477,2019-11-09 11:30
36283,85.31,0.86118,2019-11-09 11:31
36283,85.3,0.86227,2019-11-09 11:32
36283,85.21,0.86972,2019-11-09 11:33
36283,85.05,0.88265,2019-11-09 11:34
36283,85.0,0.88736,2019-11-09 11:35
36283,84.89,0.89627,2019-11-09 11:36
36283,84.74,0.90877,2019-11-09 11:37
36283,84.67,0.91425,2019-11-09 11:38
36283,84.57,0.92334,2019-11-09 11:39
36283,85.94,0.80842,2019-11-09 11:40
36283,85.85,0.81626,2019-11-09 11:41
36283,85.75,0.82455,2019-11-09 11:42
36283,85.62,0.83532,2019-11-09 11:43
